realistic,(adj.9),現實的
relative,(adj.8),有關的;相對的
reluctant,(adj.9),不情願的;勉強的
remarkable,(adj.10),非凡的;卓越的
respectable,(adj.11),值得尊敬的;體面的
respectful,(adj.10),恭敬的;尊敬人的
revolutionary,(adj.13),革命的
rural,(adj.5),農村的;田園的
senior,(adj.6),年資較深的;四年級生的
severe,(adj.6),嚴重的;劇烈的
shameful,(adj.8),"可恥的,丟臉的"
shortsighted,(adj.12),"近視的;目光短淺的,缺乏遠見的"
singular,(adj.8),單數的;獨個的
slight,(adj.6),輕微的;微小的
solar,(adj.5),太陽的;日光的
sorrowful,(adj.9),悲傷的;令人傷心的
spare,(adj.5),"多餘的,剩下的;空閒的"
spicy,(adj.5),辛辣的;痛快的
spiritual,(adj.9),心靈的;崇高純潔的
splendid,(adj.8),燦爛的;傑出的
stingy,(adj.6),小氣的
submarine,(adj.9),海底的
suspicious,(adj.10),"猜疑的,疑心的;多疑的"
sympathetic,(adj.11),同情的;有同情心的
systematic,(adj.10),有系統的;成體系的
technological,(adj.13),"技術(學)的,工藝(學)的"
tense,(adj.5),繃緊的
thorough,(adj.8),徹底的;完全的
thoughtful,(adj.10),考慮周到的
timid,(adj.5),膽小的;羞怯的
tiresome,(adj.8),令人厭倦的
tolerable,(adj.9),可忍受的;可容忍的
tolerant,(adj.8),"忍受的,容忍的"
tough,(adj.5),"堅韌的,牢固的;頑固的;棘手的"
tragic,(adj.6),"悲慘的,不幸的"
tremendous,(adj.10),"巨大的;極度的,驚人的"
tribal,(adj.6),部落的;種族的
troublesome,(adj.11),"麻煩的,棘手的"
unique,(adj.6),獨特的
universal,(adj.9),宇宙的;通用的
urban,(adj.5),城市的
urgent,(adj.6),"緊急的,急迫的"
vain,(adj.4),愛虛榮的;徒然的
vast,(adj.4),"廣闊的,浩瀚的;非常的"
very,(adj.4),正是;恰好是;僅僅
virgin,(adj.6),未玷污的
visual,(adj.6),視力的;光學的
vital,(adj.5),充滿活力的;致命的
voluntary,(adj.9),自願的
weekly,(adj.6),每週的;一週一次的
yearly,(adj.6),每年的;按年的
youthful,(adj.8),年輕的;富青春活力的
abandon,(v.7),放棄
absorb,(v.6),"吸收(液體,氣體,光,聲等)"
access,(v.6),取出(資料);使用;接近
accompany,(v.9),陪同;伴隨
accomplish,(v.10),完成;實現;達到
accuse,(v.6),指控
acquaint,(v.8),使認識;使熟悉
acquire,(v.7),取得;獲得
adapt,(v.5),使適應;使適合
adjust,(v.6),校準;調整;適應
alert,(v.5),向...報警;使警覺
amuse,(v.5),逗...高興
analyze,(v.7),分析
annoy,(v.5),"惹惱,使生氣;使煩惱"
apologize,(v.9),道歉
appoint,(v.7),"任命,指派"
arch,(v.4),"使成弧形,拱起"
arise,(v.5),升起
arouse,(v.6),喚起;激動;叫醒
assemble,(v.8),"集合,召集"
assign,(v.6),"分配,分派"
associate,(v.9),"聯想,把...聯想在一起"
assume,(v.6),假定
assure,(v.6),"向...保證,擔保"
attach,(v.6),"裝上,貼上;使附屬"
await,(v.5),"等候,期待"
backpack,(v.8),把...放入背包; 背負簡便行李旅行
bankrupt,(v.8),使破產;使赤貧
bargain,(v.7),討價還價
blend,(v.5),使混和
blink,(v.5),眨眼睛;閃爍
bloom,(v.5),開花;興盛
blossom,(v.7),開花;發展成
blush,(v.5),臉紅
boast,(v.5),吹牛;誇耀
bond,(v.4),以...作抵押;使...黏合
bounce,(v.6),"彈起,彈回"
breed,(v.5),"使繁殖,飼養"
broil,(v.5),烤;炙
calculate,(v.9),計算
campaign,(v.8),參加競選
carve,(v.5),"刻,雕刻"
catalog,(v.7),將...編入目錄
catalogue,(v.9),"為...編目;登記,記載"
cease,(v.5),"停止,終止"
cement,(v.6),"黏緊,黏牢"
cherish,(v.7),撫育;愛護
chirp,(v.5),鳥發啾聲;蟲發唧聲;人嘁喳說話
circulate,(v.9),流通;發行
clarify,(v.7),澄清;闡明
clash,(v.5),砰地相碰撞
classify,(v.8),將...分類
climax,(v.6),使達到頂點(或高潮)
code,(v.4),為...編碼
collapse,(v.8),倒塌
comment,(v.7),評論
commit,(v.6),"使作出保證;犯(罪),做(錯事等)"
complicate,(v.10),使複雜化
compose,(v.7),"作(詩,曲等);構(圖)"
concentrate,(v.11),濃縮;全神貫注
concrete,(v.8),使凝固;使結合
confess,(v.7),"坦白,供認,承認"
confine,(v.7),限制;使局限
congratulate,(v.12),祝賀;恭禧
conquer,(v.7),克服;征服
consist,(v.7),"組成,構成"
constitute,(v.10),"構成,組成"
construct,(v.9),"建造,構成"
consult,(v.7),與...商量
consume,(v.7),"消耗,花費;耗盡"
content,(v.7),使滿足
contest,(v.7),"競爭,角逐;爭辯"
contrast,(v.8),"使對比,使對照"
contribute,(v.10),"捐獻,捐助;貢獻,出力"
converse,(v.8),"交談,談話"
convey,(v.6),運送;傳達
convince,(v.8),使信服;說服
cooperate,(v.9),"合作,協作;(事物)配合"
cope,(v.4),競爭
cork,(v.4),用軟木塞塞住;抑制
correspond,(v.10),"符合,一致"
counter,(v.7),反對;反擊
crack,(v.5),砸開
cram,(v.4),把...塞滿;死記硬背
cripple,(v.7),使成跛子;使殘廢
criticize,(v.9),批評;批判;苛求
crush,(v.5),"壓碎,壓壞"
cube,(v.4),使成立方形;切成小方塊
cue,(v.3),給...暗示
curl,(v.4),使(頭髮)捲曲
curse,(v.5),"詛咒,咒罵"
curve,(v.5),使彎曲;使成曲線
cushion,(v.7),緩和...的衝擊
damn,(v.4),"罵...該死,咒罵"
damp,(v.4),使潮濕;使沮喪;抑制
declare,(v.7),"宣佈,宣告"
decrease,(v.8),減少
defeat,(v.6),"戰勝,擊敗"
defend,(v.6),防禦;保衛;保護
delight,(v.7),使高興
demand,(v.6),"要求,請求"
demonstrate,(v.11),"示範操作(產品),展示"
depart,(v.6),"起程,出發;離開,離去"
depress,(v.7),使沮喪
deserve,(v.7),"應受,該得"
devise,(v.6),設計;發明
devote,(v.6),將...奉獻
differ,(v.6),"不同,相異"
digest,(v.6),消化(食物)
disadvantage,(v.12),使處於不利地位
discipline,(v.10),懲戒
disconnect,(v.10),切斷(電話、電源等)
discourage,(v.10),"使洩氣,使沮喪"
disguise,(v.8),"掩飾,隱瞞"
disgust,(v.7),使作嘔
dismiss,(v.7),"解散,遣散;解雇;開除"
disorder,(v.8),使混亂;擾亂
dispute,(v.7),爭論;爭執
distinguish,(v.11),區別;識別
distribute,(v.10),分發;分配
disturb,(v.7),"妨礙,打擾"
divorce,(v.7),"與...離婚,使離婚"
dominate,(v.8),"支配,統治,控制"
download,(v.8),下載
doze,(v.4),"打瞌睡,打盹"
draft,(v.5),起草;設計
dread,(v.5),懼怕;擔心
drift,(v.5),"漂,漂流"
drill,(v.5),鑽(孔);在...上鑽孔
dye,(v.3),把...染上顏色
eliminate,(v.9),"排除,消除"
email,(v.5),electronic mail
e-mail,(v.6),傳送電子郵件
embarrass,(v.9),使困窘
emerge,(v.6),浮現;出現
enclose,(v.7),圍住;圈起
encounter,(v.9),"遭遇(敵人);遇到(困難,危險等)"
endanger,(v.8),危及;使遭到危險
endure,(v.6),"忍耐,忍受"
enforce,(v.7),"實施,執行"
enlarge,(v.7),擴大;擴展
entertain,(v.9),"招待,款待"
equip,(v.5),"裝備,配備"
establish,(v.9),建立;設立
estimate,(v.8),"估計,估量"
evaluate,(v.8),對...評價
evidence,(v.8),"顯示,表明"
exaggerate,(v.10),"張,誇大;對...言過其實"
exhaust,(v.7),使精疲力盡
exhibit,(v.7),"展示,陳列"
expand,(v.6),"展開,張開"
explore,(v.7),探測;探勘
expose,(v.6),使暴露於
extend,(v.6),"延長,延伸"
feast,(v.5),盛宴款待
ferry,(v.5),用渡船運送
fetch,(v.5),(去)拿來
finance,(v.7),籌措資金
flatter,(v.7),諂媚;奉承
flee,(v.4),逃離;逃避
flunk,(v.5),失敗;不及格
flush,(v.5),湧;湧流;用水沖洗
foam,(v.4),起泡沫
forbid,(v.6),"禁止,不許"
forecast,(v.8),預測
frame,(v.5),給...裝框子
frost,(v.5),結霜於
frown,(v.5),皺眉;表示不滿
